ogc_fid,zoning,acres,obb_length_ft,obb_width_ft,fill_ratio,network,streets_across,lots,irregular_lots,lot_width_ft,lot_depth_ft,buildable_depth_ft,streets,courts,pct_row,pct_alleys,pct_lots,pct_residual,pct_hazard,hazard_coverage,du_ac,access_mode,error,generator_version
293037,RS15,4.14,872,212,0.978,single_loaded,1,7,0,100,150,110,1,1,24.4,0,60.7,6.2,3.2,ingested,1.69,start,,subdivision_v1.1
293411,RS15,5.36,1369,195,0.873,single_loaded,1,10,0,110,140,100,1,2,18.3,0,65.8,2.7,0.1,ingested,1.87,end,,subdivision_v1.1
293669,RS7.5,8.61,959,745,0.526,grid,3,20,1,95,80,40,4,3,26.7,8.3,41.6,17,0.0,ingested,2.32,end,,subdivision_v1.1
293738,RS15,5.58,900,332,0.812,spine,1,6,0,135,115,75,1,2,20.2,6.6,39.3,21,0.0,ingested,1.08,both,,subdivision_v1.1
294557,R10,3.33,784,191,0.969,single_loaded,1,7,0,85,120,80,1,1,27.1,0,55.7,9.2,0.0,ingested,2.1,both,,subdivision_v1.1
295713,AR2A,65.85,6460,973,0.456,ladder,2,0,0,410,215,175,12,0,17.6,0,0,17.4,79.8,ingested,0,start,,subdivision_v1.1
296238,R10,10.76,1144,658,0.622,ladder,2,8,0,85,120,80,3,0,20.7,2,17.3,60,0.0,ingested,0.74,end,,subdivision_v1.1
296279,RS20,5.05,923,696,0.343,ladder,2,3,0,155,130,90,3,0,18.4,3.2,27.3,51,0.1,ingested,0.59,both,,subdivision_v1.1
296564,RS15,5.66,1033,253,0.942,spine,1,8,0,160,95,55,1,2,22.8,0,50.9,13.5,0.0,ingested,1.41,start,,subdivision_v1.1
298078,R10,2.37,,,0.997,,,0,,,,,,,,,,,,,,,parcel_too_narrow_for_a_street_and_a_lot,subdivision_v1.1
298169,RS10,2.6,647,180,0.974,single_loaded,1,6,0,85,120,80,2,0,35.4,0,56,8.6,0.0,ingested,2.31,side,,subdivision_v1.1
298170,R6,4.79,490,430,0.988,spine,1,12,0,65,95,55,1,2,12.4,8.7,50.4,20.1,0.0,ingested,2.51,both,,subdivision_v1.1
298716,RS10,2.99,496,460,0.572,ladder,2,0,0,145,70,30,4,2,35.3,2.2,0,26.2,23.8,ingested,0,side,,subdivision_v1.1
298849,R20,7.24,842,436,0.857,spine,1,9,0,120,170,130,1,2,13.3,4.6,58.3,10.8,0.0,ingested,1.24,both,,subdivision_v1.1
299272,RS7.5,16.62,1335,819,0.662,grid,3,43,0,80,95,55,5,6,27.1,6.6,45.1,14.9,0.0,ingested,2.59,end,,subdivision_v1.1
299362,R10,2.85,648,398,0.481,spine,1,2,0,85,120,80,1,0,15.3,2.1,20.2,48.3,25.8,ingested,0.7,both,,subdivision_v1.1
299489,R15,3.37,580,381,0.664,spine,1,4,0,110,140,100,1,0,19.4,3.2,41.7,35.7,0.0,ingested,1.19,start,,subdivision_v1.1
299643,RS15,5.08,818,288,0.938,spine,1,5,0,160,95,55,1,2,20.8,8.4,34.6,22.2,0.0,ingested,0.98,end,,subdivision_v1.1
300044,AR2A,23.57,1986,708,0.73,ladder,2,0,0,605,145,105,5,0,21.6,0,0,22.4,71.9,ingested,0,end,,subdivision_v1.1
300047,R10,7.91,1134,596,0.51,ladder,2,1,0,100,105,65,4,2,27.3,1.4,3,31.7,42.4,ingested,0.13,side,,subdivision_v1.1
300064,R20,57,2241,2028,0.546,grid,5,58,1,125,160,120,8,19,21.4,4.2,46.7,12.4,0.0,ingested,1.02,both,,subdivision_v1.1
300105,R10,5.42,1026,286,0.804,spine,1,11,0,110,95,55,1,1,23.3,10.6,49,12.5,0.1,ingested,2.03,start,,subdivision_v1.1
300121,AR2A,52.08,2136,1551,0.685,grid,3,8,1,400,220,180,6,5,18,0,31.1,30.8,0.8,ingested,0.15,start,,subdivision_v1.1
300122,R8,4.75,681,406,0.749,spine,1,10,5,75,110,70,1,2,17,2.2,50.6,20,0.0,ingested,2.11,start,,subdivision_v1.1
300143,RS15,18.34,2046,850,0.459,ladder,2,26,1,100,150,110,5,2,18.1,5,53.3,18.9,0.0,ingested,1.42,start,,subdivision_v1.1
300161,RS20,14.83,2338,394,0.7,spine,1,16,0,140,145,105,1,6,14.3,8.8,51.7,5.7,0.0,ingested,1.08,end,,subdivision_v1.1
300190,RS10,13.3,1632,678,0.524,ladder,2,5,1,85,120,80,4,1,23,1,9,25.9,50.7,ingested,0.38,start,,subdivision_v1.1
300192,RS15,15.4,1070,716,0.875,ladder,2,18,0,115,135,95,3,6,19.4,5.4,41.8,15.1,4.4,ingested,1.17,end,,subdivision_v1.1
300198,AR2A,38.54,2982,1133,0.497,ladder,2,3,1,400,220,180,6,5,13,0,18.1,40.9,0.1,ingested,0.08,end,,subdivision_v1.1
300224,RS10,2.42,1259,423,0.197,spine,1,1,0,85,120,80,2,0,4.7,1.6,12.8,80.9,0.0,ingested,0.41,side,,subdivision_v1.1
300225,AR2A,83.75,3002,1919,0.633,grid,4,8,0,415,210,170,9,7,20.3,0,19.1,38.2,6.9,ingested,0.1,end,,subdivision_v1.1
300233,R8,5.84,744,433,0.791,spine,1,12,3,75,110,70,2,2,18.6,6.5,51.3,14.8,0.0,ingested,2.05,side,,subdivision_v1.1
300267,R15,6.03,1143,357,0.644,spine,1,6,0,120,130,90,1,2,20.9,7,35.7,19.3,5.6,ingested,1,both,,subdivision_v1.1
300283,R8,2.26,369,350,0.764,spine,1,6,0,75,110,70,1,0,20.5,8.8,58.2,12.5,0.0,ingested,2.66,both,,subdivision_v1.1
300287,RS10,7.92,1026,509,0.66,ladder,2,12,1,125,80,40,3,4,26.1,6.3,35.8,19.9,0.0,ingested,1.52,start,,subdivision_v1.1
300302,R10,11.25,971,717,0.704,ladder,2,26,8,85,120,80,3,1,18.7,3.9,57.4,15.1,3.6,ingested,2.31,both,,subdivision_v1.1
300318,AR2A,96.67,3542,1916,0.62,grid,4,2,0,415,210,170,9,18,18,0,4.1,39,2.4,ingested,0.02,both,,subdivision_v1.1
300319,R10,2.95,661,251,0.775,spine,1,3,0,135,75,35,1,1,27.4,6.8,24.3,7.9,37.6,ingested,1.02,start,,subdivision_v1.1
300367,RS15,3.66,757,590,0.357,ladder,2,0,0,150,100,60,3,0,29.3,0,0,23.4,70.7,ingested,0,end,,subdivision_v1.1
300377,R20,14.67,1075,820,0.725,ladder,2,10,0,125,160,120,3,6,19.3,2.7,31.3,28.1,0.0,ingested,0.68,start,,subdivision_v1.1
300386,AR2A,26.19,4685,472,0.516,spine,1,3,0,425,205,165,1,2,7,0,22.7,43.7,11.1,ingested,0.11,end,,subdivision_v1.1
300422,R40,11.11,1074,467,0.965,spine,1,6,0,200,205,165,1,2,12.6,0,50.1,21,0.0,ingested,0.54,end,,subdivision_v1.1
300426,AR2A,18.13,3612,640,0.342,ladder,2,1,0,675,130,90,8,3,20.4,0,11.3,30.2,4.2,ingested,0.06,end,,subdivision_v1.1
300443,RS15,4.87,855,386,0.643,spine,1,4,0,105,145,105,1,0,20.2,1.2,28.1,45.5,5.0,ingested,0.82,end,,subdivision_v1.1
300518,R20,4.66,902,252,0.894,single_loaded,1,6,0,115,175,135,1,1,12.8,0,66.5,5.5,4.0,ingested,1.29,start,,subdivision_v1.1
300534,RS15,3.64,854,413,0.449,spine,1,1,0,100,150,110,2,0,17.8,0.6,10,31.7,42.8,ingested,0.27,side,,subdivision_v1.1
300537,AR2A,39.77,1932,1695,0.529,grid,5,0,0,625,140,100,8,0,23.1,0,0,69.5,7.5,ingested,0,end,,subdivision_v1.1
300557,R20,39.53,2720,1193,0.531,grid,3,34,0,130,155,115,7,5,20.7,3.3,40.3,24.1,6.9,ingested,0.86,start,,subdivision_v1.1
300565,R10,5.18,913,267,0.927,spine,1,10,0,120,85,45,1,2,21.9,11.2,45.4,12.4,0.0,ingested,1.93,start,,subdivision_v1.1
300583,R40,20.46,1730,928,0.555,ladder,2,3,0,200,200,110,5,3,19,0,13.5,51,3.2,ingested,0.15,side,,subdivision_v1.1
300598,AR2A,25.79,2223,733,0.689,ladder,2,0,0,565,155,115,5,3,20.4,0,0,56.7,0.0,ingested,0,end,,subdivision_v1.1
300612,R20,30.44,1877,1093,0.646,grid,3,23,0,145,140,100,6,8,21.9,5,35.4,24.4,1.8,ingested,0.76,end,,subdivision_v1.1
300615,RS20,5.22,694,596,0.55,spine,1,4,2,115,175,135,1,1,9.9,2.5,39.9,37,0.0,ingested,0.77,both,,subdivision_v1.1
300624,R20,5.2,902,444,0.565,spine,1,1,0,120,170,130,1,0,21.2,0.1,9,69.7,0.0,ingested,0.19,start,,subdivision_v1.1
300648,RS10,4.92,835,279,0.921,spine,1,10,0,115,90,50,1,2,21.2,11.9,49,8.1,0.0,ingested,2.03,end,,subdivision_v1.1
300650,RS15,22.16,1331,1243,0.584,grid,3,31,4,100,150,110,5,5,20.7,3.8,48.9,18.4,0.0,ingested,1.4,start,,subdivision_v1.1
