ogc_fid,zoning,acres,obb_length_ft,obb_width_ft,fill_ratio,network,streets_across,lots,irregular_lots,lot_width_ft,lot_depth_ft,buildable_depth_ft,streets,courts,pct_row,pct_alleys,pct_lots,pct_residual,du_ac,access_mode,error,pct_land_hazard,greenway_crossing_ft,declined_crossing_ft,unserved_sqft,served_length_ft,stops_at_greenway,access_assumed_pick
293037,RS15,4.14,872,212,0.978,single_loaded,1,8,0,100,150,110,1,0,25.0,0.0,69.3,5.7,1.93,start,,3.2,151,0,0,825,False,False
293411,RS15,5.36,1369,195,0.873,single_loaded,1,9,0,110,140,100,1,2,18.8,0.0,59.2,8.7,1.68,end,,0.1,0,0,0,1322,False,False
293669,RS7.5,8.61,959,745,0.526,grid,3,19,0,95,80,40,4,4,26.7,8.3,39.6,17.0,2.21,end,,0.0,0,0,0,969,False,False
293738,RS15,5.58,900,332,0.812,spine,1,6,0,135,115,75,1,2,20.2,6.6,39.3,21.0,1.08,both,,0.0,0,0,0,910,False,False
294557,R10,3.33,784,191,0.969,single_loaded,1,7,0,85,120,80,1,1,27.1,0.0,55.7,9.2,2.1,both,,0.0,0,0,0,794,False,False
295713,AR2A,65.85,6460,973,0.456,ladder,2,0,0,410,215,175,2,0,0.9,0.0,0.0,19.3,0.0,start,,79.8,0,1655,388867,563,True,False
296238,R10,10.76,1144,658,0.622,ladder,2,7,0,85,120,80,3,1,20.7,2.0,15.2,60.0,0.65,end,,0.0,0,0,0,1154,False,False
296279,RS20,5.05,923,696,0.343,ladder,2,3,0,155,130,90,3,0,18.4,3.2,27.3,51.0,0.59,both,,0.1,0,0,0,933,False,False
296564,RS15,5.66,1033,253,0.942,spine,1,8,0,160,95,55,1,2,22.8,0.0,50.9,13.5,1.41,start,,0.0,0,0,0,986,False,False
298078,R10,2.37,,,0.997,,,0,,,,,,,,,,,,,parcel_too_narrow_for_a_street_and_a_lot,,,,,,False,False
298169,RS10,2.6,647,180,0.974,single_loaded,1,6,0,85,120,80,2,0,35.4,0.0,56.0,8.6,2.31,side,,0.0,0,0,0,657,False,False
298170,R6,4.79,490,430,0.988,spine,1,12,0,65,95,55,1,2,12.4,8.7,50.4,20.1,2.51,both,,0.0,0,0,0,500,False,False
298716,RS10,2.99,496,460,0.572,ladder,2,0,0,145,70,30,4,2,35.3,2.2,0.0,26.2,0.0,side,,23.8,0,0,0,506,False,False
298849,R20,7.24,842,436,0.857,spine,1,9,0,120,170,130,1,2,13.3,4.6,58.3,10.8,1.24,both,,0.0,0,0,0,852,False,False
299272,RS7.5,16.62,1335,819,0.662,grid,3,43,0,80,95,55,5,6,27.1,6.6,45.1,14.9,2.59,end,,0.0,0,0,0,1345,False,False
299362,R10,2.85,648,398,0.481,spine,1,0,0,85,120,80,1,0,0.3,0.0,0.0,73.9,0.0,start,,25.8,0,295,69193,216,True,True
299489,R15,3.37,580,381,0.664,spine,1,4,0,110,140,100,1,0,19.4,3.2,41.7,35.7,1.19,start,,0.0,0,0,0,590,False,False
299643,RS15,5.08,818,288,0.938,spine,1,5,0,160,95,55,1,2,20.8,8.3,34.9,22.0,0.98,end,,0.0,0,0,0,751,False,False
300044,AR2A,23.57,1986,708,0.73,ladder,2,0,0,605,145,105,2,0,0.0,0.0,0.0,28.1,0.0,end,,71.9,0,2360,288832,462,True,False
300047,R10,7.91,1134,596,0.51,ladder,2,3,0,100,105,65,3,0,12.7,1.4,9.0,36.8,0.38,side,,42.4,0,618,62318,901,True,False
